id,lat,lon,z
025500-99999,57.758,14.069,225.9
025540-99999,58.717,15.033,225
025550-99999,57.65,14.7,305
025560-99999,57.292,14.137,169.5
025570-99999,57.883,15.867,91
025580-99999,58.683,16.317,155
025620-99999,58.402,15.526,93.9
025625-99999,58.406,15.681,52.4
025635-99999,56.283,12.833,47
025640-99999,58.067,15.233,200
025650-99999,57.526,15.823,111.6
025660-99999,57.4,15.817,98
025700-99999,58.617,16.117,33
025710-99999,58.586,16.251,9.8
025740-99999,58.583,16.15,41.6
025760-99999,57.717,16.467,35
025820-99999,58.75,17.867,32
025840-99999,58.4,19.2,12
025860-99999,58.25,17.017,7
025870-99999,57.917,18.95,13
025880-99999,57.9,19.167,8
025900-99999,57.663,18.346,50
025920-99999,57.367,17.1,4
025980-99999,57.433,18.983,5
026040-99999,56.691,12.82,30.8
026050-99999,56.45,12.55,10
026060-99999,56.3,12.45,72
026070-99999,56.283,12.083,18
026110-99999,56.033,12.767,44
026160-99999,55.383,12.817,5
026220-99999,56.85,13.883,148
026230-99999,55.867,13.667,114
026250-99999,55.483,14.317,5
026260-99999,56.367,13.95,85
026280-99999,56.017,14.85,60
026300-99999,56.083,13.233,52
026320-99999,55.95,15.7,3
026350-99999,55.567,13.067,21
026360-99999,55.53,13.372,71.9
026400-99999,56.867,14.8,166
026410-99999,56.929,14.728,185.9
026440-99999,56.2,16.4,3
026480-99999,56.85,14.833,200
026500-99999,56.017,14.85,55
026510-99999,55.922,14.086,23.2
026610-99999,56.833,15.467,232
026640-99999,56.267,15.265,58.2
026660-99999,56.033,15.8,3
026720-99999,56.686,16.288,5.2
026800-99999,56.917,18.15,39
027200-99999,67.701,24.847,196.3
027550-99999,64.05,24.717,76
027770-99999,60.467,23.65,117
028010-99999,69.05,20.783,482.7
028050-99999,69.75,27,106.3
028070-99999,68.607,27.405,146.6
028075-99999,68.363,23.424,306.3
028230-99999,67.967,23.683,252.6
028360-99999,67.395,26.619,183.5
028440-99999,66.767,23.967,85.9
028450-99999,66.565,25.83,196.6
028480-99999,66.817,28.667,223
028490-99999,66.833,28.667,221.7
028620-99999,65.667,24.517,3.1
028630-99999,65.383,24.1,19
028640-99999,65.782,24.599,18.6
028670-99999,65.367,27.017,117
028690-99999,65.988,29.239,264
028730-99999,65.033,24.567,7.3
028740-99999,65.033,24.8,6
028750-99999,64.93,25.355,14.3
028790-99999,64.9,29.017,224
028890-99999,64.933,28.75,225.2
028970-99999,64.285,27.692,147.2
029010-99999,63.733,22.583,13
029030-99999,63.721,23.143,25.3
029050-99999,63.917,24.967,81
029070-99999,64.333,23.45,5
029100-99999,63.433,21.067,11
029110-99999,63.051,21.762,5.8
029130-99999,63.127,23.051,46
029150-99999,63.083,25.867,132
029170-99999,63.007,27.798,98.5
029190-99999,61.2,28.467,77
029200-99999,63.75,22.517,19.2
029210-99999,62.883,21.1,13
029240-99999,62.533,24.217,159.7
029245-99999,62.692,22.832,91.7
029290-99999,62.663,29.608,121.3
029350-99999,62.399,25.678,139.9
029390-99999,62.767,30.983,156.5
029420-99999,61.833,22.467,124.8
029430-99999,61.517,23.75,98
029440-99999,61.414,23.604,118.9
029450-99999,61.856,24.787,146
029470-99999,61.687,27.202,100.3
029480-99999,61.943,28.945,94.8
029490-99999,60.65,23.8,143
029520-99999,61.462,21.8,13.4
029580-99999,61.045,28.144,106.4
029610-99999,61.133,21.367,10
029630-99999,60.817,23.5,103
029640-99999,60.717,21.033,3.9
029650-99999,60.967,25.633,78.7
029660-99999,60.896,26.938,103.3
029670-99999,60.283,27.183,5.5
029700-99999,60.122,19.898,5.2
029720-99999,60.514,22.263,49.1
029730-99999,60.4,23.767,86
029740-99999,60.317,24.963,54.6
029750-99999,60.255,25.043,17.4
029760-99999,60.383,26.967,13.1
029790-99999,59.5,20.35,16
029800-99999,59.967,19.95,10
029810-99999,59.783,21.367,6.8
029820-99999,59.767,22.95,6.5
029840-99999,59.933,24.017,12
029870-99999,59.983,25.6,23.3
029880-99999,60.1,25.067,7
029900-99999,60.3,20.75,5
029910-99999,60.2,25.633,27.1
029920-99999,60.283,26.45,3.5
029930-99999,60.3,19.133,15.1
030020-99999,60.75,-0.85,15
030030-99999,59.879,-1.296,6.1
030050-99999,60.133,-1.183,84
030060-99999,60.45,-1.267,7
030064-99999,60.433,-1.296,24.7
030070-99999,60.583,-1.267,20
030080-99999,59.533,-1.633,57
030090-99999,59.367,-2.417,11
030100-99999,59.083,-4.4,12
030110-99999,59.117,-5.817,103
030140-99999,60.117,-2.067,13
030170-99999,58.958,-2.905,15.5
030220-99999,57.481,-7.363,5.8
030230-99999,57.333,-7.367,4
030260-99999,58.216,-6.331,7.9
030290-99999,56.733,-6.217,12
030310-99999,57.717,-4.883,264
030340-99999,57.867,-5.633,10
030350-99999,57.033,-7.45,3
030370-99999,57.25,-5.8,18
030390-99999,57.417,-5.683,773
030410-99999,56.817,-4.967,1130
030440-99999,58.283,-4.433,80
030470-99999,56.867,-4.7,249
030490-99999,58.633,-5,112
030550-99999,58.867,-3.383,18
030570-99999,57.267,-4.483,21
030580-99999,57.683,-4.167,3
030590-99999,57.543,-4.048,9.4
030620-99999,57.817,-3.967,4
030630-99999,57.2,-3.833,228
030650-99999,57.117,-3.633,1245
030660-99999,57.649,-3.561,6.7
030680-99999,57.705,-3.339,12.8
030700-99999,57.35,-3.35,213
030720-99999,56.883,-3.417,933
030750-99999,58.459,-3.093,38.4
030800-99999,57.083,-2.833,140
030880-99999,56.85,-2.267,134
030910-99999,57.202,-2.198,65.5
030920-99999,57.5,-1.767,15
031000-99999,56.499,-6.869,11.6
031050-99999,55.683,-6.25,17
031110-99999,55.433,-5.7,10
031140-99999,56.417,-5.467,4
031180-99999,55,-5.15,15
031200-99999,55.7,-5.3,46
031310-99999,54.633,-4.85,78
031320-99999,54.85,-4.95,12
031340-99999,55.9,-4.533,59
031350-99999,55.509,-4.587,19.8
031380-99999,55.967,-4.8,5
031394-99999,55.437,-5.686,12.8
031400-99999,55.872,-4.433,7.9
031440-99999,56.317,-3.733,35
031480-99999,56.417,-4.317,564
031520-99999,55.867,-3.867,275
031530-99999,54.8,-4,113
031540-99999,55.05,-3.65,16
031550-99999,55.617,-3.733,245
031580-99999,55.7,-2.383,111
031600-99999,55.95,-3.373,41.1
031610-99999,55.7,-3.217,195
031620-99999,55.317,-3.2,242
031634-99999,56.452,-3.026,5.2
031650-99999,55.05,-2.55,325
031710-99999,56.373,-2.868,11.6
031740-99999,56.3,-2.583,12
031760-99999,55.367,-2.517,308
031850-99999,55.917,-2.133,75
032040-99999,54.083,-4.624,16.8
032080-99999,54.417,-4.367,9
032100-99999,54.517,-3.6,123
032120-99999,54.617,-3.167,81
032130-99999,54.317,-3.4,9
032140-99999,54.131,-3.264,14.3
032150-99999,54.767,-3.317,62
032200-99999,54.933,-2.967,27
032220-99999,54.938,-2.809,57.9
032240-99999,55.05,-2.55,286
032250-99999,54.5,-2.683,255
032260-99999,54.567,-2.417,227
032270-99999,54.683,-2.45,847
032300-99999,55.283,-2.283,212
032380-99999,55.017,-1.867,146
032400-99999,55.424,-1.603,21.3
032433-99999,55.038,-1.692,81.1
032450-99999,54.967,-1.617,50
032570-99999,54.292,-1.535,40.2
032610-99999,54.137,-1.42,35.7
032620-99999,55.017,-1.417,30
032635-99999,54.509,-1.429,36.6
032643-99999,54.206,-1.382,28
032660-99999,54.049,-1.253,16.2
032750-99999,54.567,-0.867,159
032810-99999,54.367,-0.667,262
032920-99999,54.1,-0.167,19
033020-99999,53.248,-4.535,11.3
033050-99999,53.1,-3.933,215
033130-99999,53.25,-3.5,76
033140-99999,53.217,-3.217,263
033160-99999,53.5,-3.067,9
033180-99999,53.772,-3.029,10.4
033210-99999,53.178,-2.978,13.7
033220-99999,53.55,-2.917,56
033230-99999,53.333,-2.85,26
033300-99999,53.133,-1.983,299
033340-99999,53.354,-2.275,78.3
033380-99999,53.033,-2.083,228
033440-99999,53.817,-1.867,267
033460-99999,53.6,-1.667,267
033463-99999,53.866,-1.661,207.6
033470-99999,53.8,-1.55,47
033540-99999,53,-1.25,117
033550-99999,53.834,-1.196,8.8
033600-99999,53.483,-1,17
033730-99999,53.308,-0.551,61.6
033735-99999,53.574,-0.351,36.9
033770-99999,53.166,-0.524,70.4
